Member_number,Date,itemDescription,itemDescription_ro
1808,21-07-2015,tropical fruit,fruct tropical
2552,05-01-2015,whole milk,lapte integral
2300,19-09-2015,pip fruit,fruct cu sâmburi
1187,12-12-2015,other vegetables,alte legume
3037,01-02-2015,whole milk,lapte integral
4941,14-02-2015,rolls/buns,chifle
4501,08-05-2015,other vegetables,alte legume
3803,23-12-2015,pot plants,
2762,20-03-2015,whole milk,lapte integral
4119,12-02-2015,tropical fruit,fruct tropical
1340,24-02-2015,citrus fruit,fructe citrice
2193,14-04-2015,beef,carne de vită
1997,21-07-2015,frankfurter,
4546,03-09-2015,chicken,pui
4736,21-07-2015,butter,unt
1959,30-03-2015,fruit/vegetable juice,suc de fructe/legume
1974,03-05-2015,packaged fruit/vegetables,
2421,02-09-2015,chocolate,ciocolată
1513,03-08-2015,specialty bar,
1905,07-07-2015,other vegetables,alte legume
2810,08-09-2015,butter milk,
2867,12-11-2015,whole milk,lapte integral
3962,18-09-2015,tropical fruit,fruct tropical
1088,30-11-2015,tropical fruit,fruct tropical
4976,17-07-2015,bottled water,apă îmbuteliată
4056,12-06-2015,yogurt,iaurt
3611,13-02-2015,sausage,cârnați
1420,14-01-2015,other vegetables,alte legume
4286,08-03-2015,brown bread,pâine integrală
4918,27-01-2015,yogurt,iaurt
4783,22-10-2015,hamburger meat,
3709,26-10-2015,root vegetables,legume rădăcinoase
4289,08-10-2015,pork,carne de porc
1559,03-10-2015,beef,carne de vită
2900,11-04-2015,pastry,patiserie
1905,21-02-2015,fruit/vegetable juice,suc de fructe/legume
3527,29-09-2015,canned beer,bere la cutie
1495,09-01-2015,root vegetables,legume rădăcinoase
3558,03-04-2015,citrus fruit,fructe citrice
3128,20-04-2015,sausage,cârnați
1863,04-08-2015,tropical fruit,fruct tropical
3841,19-07-2015,berries,fructe de pădure
3903,06-10-2015,canned beer,bere la cutie
2658,16-10-2015,butter milk,
4272,06-06-2015,coffee,cafea
1120,26-09-2015,pastry,patiserie
2676,15-08-2015,rolls/buns,chifle
1697,21-05-2015,misc. beverages,
2507,25-08-2015,root vegetables,legume rădăcinoase
4620,11-03-2015,sausage,cârnați
3365,01-02-2015,canned beer,bere la cutie
2978,05-06-2015,ham,șuncă
2910,28-07-2015,turkey,
1061,05-09-2015,whole milk,lapte integral
3276,03-04-2015,whole milk,lapte integral
1326,19-06-2015,packaged fruit/vegetables,
3023,28-07-2015,rolls/buns,chifle
2185,11-10-2015,ham,șuncă
3552,16-06-2015,rolls/buns,chifle
1967,20-01-2015,other vegetables,alte legume
4708,20-03-2015,sausage,cârnați
2874,15-02-2015,sausage,cârnați
4177,13-04-2015,frankfurter,
1663,07-02-2015,rolls/buns,chifle
2632,02-03-2015,whole milk,lapte integral
1377,14-03-2015,curd cheese,
4162,22-12-2015,red/blush wine,vin roșu/roz
2270,01-07-2015,sausage,cârnați
4829,03-11-2015,tropical fruit,fruct tropical
3811,14-04-2015,red/blush wine,vin roșu/roz
4766,29-09-2015,whole milk,lapte integral
2436,12-04-2015,frankfurter,
3860,05-05-2015,whole milk,lapte integral
4875,12-05-2015,frozen potato products,
1587,01-07-2015,other vegetables,alte legume
4038,08-07-2015,citrus fruit,fructe citrice
4750,21-09-2015,flour,
1199,10-12-2015,sugar,zahăr
1603,30-09-2015,frozen meals,
3111,31-01-2015,chocolate,ciocolată
3894,13-12-2015,root vegetables,legume rădăcinoase
1456,18-09-2015,root vegetables,legume rădăcinoase
2022,04-03-2015,herbs,
2505,30-11-2015,bottled water,apă îmbuteliată
4851,20-12-2015,sausage,cârnați
4293,04-08-2015,coffee,cafea
2775,06-11-2015,pork,carne de porc
3693,18-02-2015,berries,fructe de pădure
1202,22-07-2015,soda,suc carbogazos
3699,23-08-2015,berries,fructe de pădure
4152,15-04-2015,fruit/vegetable juice,suc de fructe/legume
4155,26-01-2015,citrus fruit,fructe citrice
4010,29-12-2015,pork,carne de porc
4389,20-10-2015,detergent,detergent
3746,17-08-2015,grapes,struguri
2560,17-05-2015,sausage,cârnați
1503,25-07-2015,chicken,pui
2555,23-12-2015,whole milk,lapte integral
3645,12-12-2015,citrus fruit,fructe citrice
3886,11-09-2015,soda,suc carbogazos
2932,20-03-2015,sausage,cârnați
1711,18-06-2015,frankfurter,
4291,08-12-2015,sausage,cârnați
1143,25-04-2015,soda,suc carbogazos
4564,08-07-2015,rolls/buns,chifle
3337,14-05-2015,beef,carne de vită
4931,04-05-2015,whole milk,lapte integral
2623,10-10-2015,processed cheese,brânză topită
4581,03-04-2015,tropical fruit,fruct tropical
2635,11-06-2015,frankfurter,
1095,30-10-2015,packaged fruit/vegetables,
2990,23-05-2015,whole milk,lapte integral
2426,05-06-2015,berries,fructe de pădure
4555,07-11-2015,citrus fruit,fructe citrice
3635,04-09-2015,tropical fruit,fruct tropical
3058,18-05-2015,hamburger meat,
4391,26-03-2015,hamburger meat,
1306,23-06-2015,whole milk,lapte integral
1024,10-08-2015,fish,pește
1295,23-07-2015,frankfurter,
1661,01-06-2015,packaged fruit/vegetables,
4591,15-05-2015,pastry,patiserie
3169,14-06-2015,other vegetables,alte legume
3915,21-05-2015,misc. beverages,
1127,14-01-2015,frankfurter,
4828,08-08-2015,sparkling wine,
3683,10-06-2015,specialty bar,
1971,18-09-2015,sausage,cârnați
3014,11-11-2015,curd cheese,
3779,15-09-2015,frankfurter,
2489,04-05-2015,whole milk,lapte integral
3564,27-06-2015,newspapers,ziare
4092,30-09-2015,berries,fructe de pădure
3221,13-01-2015,curd,brânză de vaci
1279,06-09-2015,tropical fruit,fruct tropical
2581,22-08-2015,soda,suc carbogazos
2295,25-02-2015,rolls/buns,chifle
4760,22-02-2015,canned beer,bere la cutie
3649,16-01-2015,canned beer,bere la cutie
1075,19-11-2015,frankfurter,
3987,19-08-2015,other vegetables,alte legume
4106,25-08-2015,whole milk,lapte integral
4338,24-06-2015,whole milk,lapte integral
4166,06-11-2015,citrus fruit,fructe citrice
1211,10-03-2015,frankfurter,
3954,21-01-2015,frankfurter,
3928,18-07-2015,butter milk,
3827,30-09-2015,hamburger meat,
4699,08-02-2015,pasta,
4747,08-06-2015,other vegetables,alte legume
3028,09-06-2015,sausage,cârnați
2851,16-03-2015,rolls/buns,chifle
4417,25-02-2015,grapes,struguri
3822,07-03-2015,root vegetables,legume rădăcinoase
2288,31-05-2015,coffee,cafea
2184,30-06-2015,popcorn,
4554,27-08-2015,whole milk,lapte integral
3361,05-03-2015,tropical fruit,fruct tropical
2999,17-04-2015,beef,carne de vită
2614,25-06-2015,whole milk,lapte integral
4064,05-06-2015,frankfurter,
3567,04-10-2015,tropical fruit,fruct tropical
2587,07-05-2015,canned beer,bere la cutie
3783,17-06-2015,finished products,produse finite
1923,14-02-2015,beverages,băuturi
4835,19-02-2015,hamburger meat,
1514,24-08-2015,whole milk,lapte integral
3154,22-06-2015,finished products,produse finite
1313,25-12-2015,other vegetables,alte legume
2794,18-07-2015,ham,șuncă
2359,09-04-2015,other vegetables,alte legume
2238,09-03-2015,curd,brânză de vaci
3795,17-01-2015,bottled beer,bere la sticlă
3724,26-11-2015,curd,brânză de vaci
1152,05-03-2015,whole milk,lapte integral
4559,16-03-2015,whole milk,lapte integral
3922,27-02-2015,dessert,
1709,22-04-2015,sausage,cârnați
2219,17-04-2015,other vegetables,alte legume
2206,17-10-2015,ham,șuncă
1752,06-04-2015,other vegetables,alte legume
3942,10-11-2015,other vegetables,alte legume
3296,17-08-2015,soda,suc carbogazos
2257,05-02-2015,herbs,
4313,28-07-2015,frankfurter,
2001,21-08-2015,rolls/buns,chifle
2449,08-07-2015,curd,brânză de vaci
4914,12-04-2015,frankfurter,
2764,24-07-2015,other vegetables,alte legume
4187,09-05-2015,dog food,
1392,20-04-2015,specialty bar,
3427,28-04-2015,curd,brânză de vaci
1411,20-02-2015,frankfurter,
3390,14-11-2015,soda,suc carbogazos
4787,01-08-2015,beef,carne de vită
3310,17-01-2015,canned beer,bere la cutie
1782,10-10-2015,pork,carne de porc
3375,26-04-2015,frankfurter,
2760,07-01-2015,sausage,cârnați
4249,13-09-2015,canned beer,bere la cutie
2904,06-06-2015,specialty chocolate,
4090,26-02-2015,curd,brânză de vaci
3060,05-07-2015,canned beer,bere la cutie
3768,07-10-2015,whole milk,lapte integral
1232,21-01-2015,rolls/buns,chifle
1360,23-10-2015,pork,carne de porc
1107,01-10-2015,citrus fruit,fructe citrice
2865,04-11-2015,pot plants,
2958,14-06-2015,rolls/buns,chifle
2448,12-07-2015,butter,unt
1222,24-09-2015,condensed milk,lapte condensat
2943,20-06-2015,sausage,cârnați
2270,11-08-2015,whole milk,lapte integral
3812,21-07-2015,sausage,cârnați
1482,22-11-2015,beverages,băuturi
4720,22-02-2015,beverages,băuturi
1344,04-09-2015,bottled water,apă îmbuteliată
2397,04-10-2015,newspapers,ziare
4182,12-05-2015,cleaner,
4487,10-07-2015,sausage,cârnați
3467,24-12-2015,newspapers,ziare
2443,15-11-2015,sausage,cârnați
2749,27-01-2015,misc. beverages,
4389,13-04-2015,white wine,
1674,04-12-2015,sausage,cârnați
4262,16-10-2015,meat,
2082,07-04-2015,frankfurter,
4494,06-01-2015,ice cream,înghețată
2460,28-09-2015,canned beer,bere la cutie
4509,29-11-2015,tropical fruit,fruct tropical
2267,03-07-2015,meat,
4891,05-09-2015,whole milk,lapte integral
3962,20-09-2015,sausage,cârnați
4964,18-07-2015,frankfurter,
2914,30-11-2015,meat,
2808,05-05-2015,root vegetables,legume rădăcinoase
1085,15-08-2015,root vegetables,legume rădăcinoase
3808,18-08-2015,whole milk,lapte integral
4149,07-01-2015,citrus fruit,fructe citrice
2331,05-06-2015,citrus fruit,fructe citrice
4475,03-04-2015,other vegetables,alte legume
2761,25-04-2015,citrus fruit,fructe citrice
2620,14-12-2015,sausage,cârnați
3206,13-10-2015,frankfurter,
1226,13-04-2015,hard cheese,brânză tare
1395,07-03-2015,cream cheese ,
2465,07-06-2015,turkey,
3572,09-07-2015,pork,carne de porc
4387,08-05-2015,whole milk,lapte integral
1555,27-03-2015,rolls/buns,chifle
1181,16-11-2015,sausage,cârnați
2814,11-05-2015,ice cream,înghețată
2794,16-09-2015,liquor,
2912,28-01-2015,pip fruit,fruct cu sâmburi
4667,12-01-2015,root vegetables,legume rădăcinoase
2235,25-10-2015,soda,suc carbogazos
2353,02-05-2015,soda,suc carbogazos
3449,08-03-2015,sausage,cârnați
1058,10-11-2015,root vegetables,legume rădăcinoase
1027,17-05-2015,pork,carne de porc
3302,22-05-2015,pork,carne de porc
2229,30-05-2015,chocolate,ciocolată
2188,15-08-2015,fruit/vegetable juice,suc de fructe/legume
1547,18-04-2015,pickled vegetables,legume murate
1649,30-06-2015,bottled water,apă îmbuteliată
3254,10-09-2015,frankfurter,
2818,07-11-2015,tropical fruit,fruct tropical
2703,08-05-2015,canned beer,bere la cutie
3332,31-01-2015,root vegetables,legume rădăcinoase
2473,01-07-2015,meat,
2810,30-12-2015,frankfurter,
1033,22-04-2015,tropical fruit,fruct tropical
4222,27-05-2015,tropical fruit,fruct tropical
3679,21-09-2015,citrus fruit,fructe citrice
2212,27-08-2015,hamburger meat,
1507,22-06-2015,chicken,pui
2870,21-01-2015,chicken,pui
3429,26-04-2015,frankfurter,
4148,09-04-2015,canned beer,bere la cutie
2970,30-12-2015,turkey,
2013,30-08-2015,packaged fruit/vegetables,
